Id,SalePrice
1461,183007.70314297127
1462,233232.86744752736
1463,245100.62377145654
1464,261526.22039255453
1465,266492.8367254839
1466,251111.19727139827
1467,261036.5132792925
1468,241777.71161506907
1469,277396.59228264424
1470,182918.9854619878
1471,273825.2106662893
1472,180585.08852930157
1473,162597.05930083385
1474,220962.55080430163
1475,180957.28998994385
1476,429788.95629525813
1477,318926.3537466554
1478,381460.03777177515
1479,377817.04465743527
1480,482257.3939938322
1481,362054.9256466883
1482,288656.41214221274
1483,260964.05783790792
1484,244350.47873999667
1485,282940.9992357099
1486,291893.75318882265
1487,371611.828269413
1488,317147.7728050442
1489,270990.008449238
1490,318669.2677145237
1491,293047.55822867877
1492,174158.52268566238
1493,265517.06258328445
1494,359468.30468667834
1495,342842.7917288798
1496,321172.2983009417
1497,246602.52292761556
1498,247450.86769714672
1499,241214.7580594907
1500,235249.91716082883
1501,263723.136939212
1502,229822.27290297067
1503,352736.1030312332
1504,321987.71449732897
1505,303076.5859835099
1506,266008.5670376441
1507,323358.57923410647
1508,277862.9610171637
1509,227928.5310237822
1510,207277.04521187395
1511,228157.70769022265
1512,252245.28779325145
1513,232566.4525507905
1514,211295.42787527596
1515,291531.06889514043
1516,245859.73344409023
1517,245608.9103821551
1518,197925.27041515498
1519,301270.1590153801
1520,195563.3611734009
1521,193474.75983007788
1522,263018.51839398756
1523,173261.76931439457
1524,204575.7604682066
1525,172364.68584360532
1526,163286.36025045812
1527,172568.17489235313
1528,225417.16752045858
1529,217337.23468954512
1530,275425.4288080274
1531,215055.81989185582
1532,178879.66468338482
1533,232526.8484658033
1534,229655.010976332
1535,240174.0987214779
1536,185121.60225703777
1537,120999.23452192894
1538,235615.7520539069
1539,310863.52720252913
1540,195649.4747881752
1541,223316.67156589287
1542,219501.53244250268
1543,263903.8971792511
1544,167166.85045381985
1545,181839.4404728138
1546,218853.14043098572
1547,221218.33479999052
1548,210037.88872892875
1549,187130.15894860984
1550,213084.48357297457
1551,211990.25888036634
1552,214828.24393081688
1553,234495.82380473125
1554,190561.6674514676
1555,238615.71829185332
1556,145015.6283806793
1557,190094.2360845788
1558,195938.42951620417
1559,149226.805071329
1560,218667.966110016
1561,214998.12900679675
1562,206688.43431916763
1563,197367.78126217076
1564,233511.7477978475
1565,208882.23099241592
1566,310528.5855015209
1567,166753.09535101126
1568,306042.41975020175
1569,203640.976981533
1570,215007.8581597393
1571,169214.62616298115
1572,211561.1437678095
1573,316385.02467916
1574,194026.82324419147
1575,302526.85513950814
1576,328016.9148405113
1577,262598.6253040957
1578,239408.45348447026
1579,198555.18369191443
1580,268263.3628726823
1581,230818.80193918664
1582,203858.06942704204
1583,360645.55314241117
1584,305090.3309018228
1585,227498.08432107652
1586,121160.19972738344
1587,186087.00405218895
1588,222093.89116997644
1589,186320.07090955437
1590,215245.821045215
1591,147568.7942210415
1592,220613.50150088384
1593,210941.05755092832
1594,202155.89974314766
1595,189715.61132280366
1596,287464.72046089894
1597,243596.9473777879
1598,270294.945977947
1599,262308.1065294931
1600,262599.20161325997
1601,110542.1449159109
1602,193594.30658020382
1603,137806.93541666167
1604,336368.28181544016
1605,326936.2383123436
1606,245358.0313415008
1607,241679.83138920763
1608,300183.9848834295
1609,275521.13257643837
1610,233845.5700510342
1611,211189.13638040237
1612,269943.57867664145
1613,242878.71944094426
1614,207943.72252037772
1615,155057.30686282762
1616,130016.93406555126
1617,142480.59388455888
1618,189111.3546010342
1619,229502.63680851157
1620,231115.23693270958
1621,214103.43111103075
1622,227626.29117729515
1623,330668.9689064855
1624,295079.067968155
1625,193459.78579001734
1626,255247.8016990584
1627,261043.49320750847
1628,354475.1052097501
1629,251637.14065522118
1630,394373.8308749262
1631,287417.5230711403
1632,301981.5083651396
1633,266327.66390446457
1634,264034.07006908883
1635,260963.3153600006
1636,233483.08152514044
1637,268438.1027900714
1638,277208.0257567917
1639,255535.9611655788
1640,339725.85443585203
1641,256540.21593090054
1642,333820.62151971785
1643,298067.7626938741
1644,306367.33259358886
1645,304436.5472394964
1646,239738.7096164876
1647,237147.9928039133
1648,207851.41237930045
1649,211701.15455782623
1650,178731.1591597309
1651,188355.4216039665
1652,177771.83496127394
1653,178089.3702411272
1654,223282.14703057962
1655,213303.62888281932
1656,212874.1080104618
1657,224831.62256287807
1658,223829.31729827332
1659,181077.52441124292
1660,222657.8701721297
1661,478247.9276550475
1662,419412.765065741
1663,443488.2919337903
1664,496943.93166018534
1665,401583.28729587514
1666,377346.6119352749
1667,414063.8258998741
1668,426917.21948175225
1669,383458.944325448
1670,426112.541022958
1671,334667.94345097616
1672,448284.69733620295
1673,362860.1365934026
1674,328419.61904902104
1675,282051.4952344878
1676,281852.9792499207
1677,286794.4630610375
